Referrer,Referrer Type,Location
'?' on Circuit 'MSWB.7-DG.DG.3-L4G1sec1.L4G1sec1.20-TGD.TGD.LG1sec1.15',Device,L4 Concession
'Access' on Circuit 'MSWB.6-DE.DE.5-TODE.TODE.ODE.12',Device,C03-01 Coateolin (???)
'Air dryer' on Circuit 'MSWB.6-DE.DE.8-PMEsec1.PMEsec1.17-TME.TME.PE.7',Device,1071a
'Bryant A/C Unit' on Circuit 'MSWB.8-DL.DL.4-L4G.L4G.34-TG.TG.LGsec2.62',Device,Conference Room
'Bryant A/C Unit' on Circuit 'MSWB.8-DL.DL.4-L4G.L4G.34-TG.TG.LGsec2.64',Device,Middle Office
'Bryant A/C Unit' on Circuit 'MSWB.8-DL.DL.4-L4G.L4G.34-TG.TG.LGsec2.66',Device,North Office
'CUH 1-3 vest' on Circuit 'MSWB.7-DG.DG.3-L4G1sec1.L4G1sec1.20-TGD.TGD.LG1sec1.29',Device,2017
'CUH corr' on Circuit 'MSWB.5-DHB.DHB.4-T1DA.T1DA.L1DA.17',Device,(North)
'Collins Center 3A-3B' on Circuit 'MSWB.6-DE.DE.5-TODE.TODE.ODE.1',Device,Roof Hatches
'Copy Machine' on Circuit 'MSWB.5-DHB.DHB.10-T1BA.T1BA.L1BA.25',Device,???
'Door' on Circuit 'MSWB.5-DHB.DHB.3-T1A.T1A.L1A.18',Device,South End
'EWC' on Circuit 'MSWB.7-DG.DG.2-L4GC.L4GC.37A-TGC.TGC.LGCsec1.25',Device,100
'Exit Sign E/C' on Circuit 'MSWB.6-DE.DE.2-LE2.LE2.5',Device,Third Floor
'Fan F-10' on Circuit 'MSWB.8-DL.DL.4-L4G.L4G.34-TG.TG.LGsec2.60',Device,Crawlspace
'Fan F-36' on Circuit 'MSWB.9-AMDP.AMDP.7-HSHLA.HSHLA.100-TCC.TCC.HSLAsec1.11',Device,3rd Floor Toilet
'Fire alarm expander' on Circuit 'MSWB.6-DE.DE.8-PMEsec1.PMEsec1.17-TME.TME.PE.11',Device,1031A
'Gymnasium sound system' on Circuit 'MSWB.6-DE.DE.8-PMEsec1.PMEsec1.17-TME.TME.PE.9',Device,1001
'Hand Dryer bath' on Circuit 'MSWB.7-DG.DG.2-L4GC.L4GC.37A-TGC.TGC.LGCsec3.84',Device,1034A
