DeviceObj,Circuit,Location,Debug
AHU-1,MSWB.1-PBA.PBA.1,,
AHU-4,MSWB.1-PBA.PBA.2,,
AHU-1,MSWB.1-PBA.PBA.3,,
AHU-4,MSWB.1-PBA.PBA.4,,
AHU-1,MSWB.1-PBA.PBA.5,,
AHU-4,MSWB.1-PBA.PBA.6,,
F-1,MSWB.1-PBA.PBA.7,,
AHU-6,MSWB.1-PBA.PBA.8,,
F-1,MSWB.1-PBA.PBA.9,,
AHU-6,MSWB.1-PBA.PBA.10,,
F-1,MSWB.1-PBA.PBA.11,,
AHU-6,MSWB.1-PBA.PBA.12,,
AHU-3,MSWB.1-PBA.PBA.13,,
F-2,MSWB.1-PBA.PBA.14,,
AHU-3,MSWB.1-PBA.PBA.15,,
F-2,MSWB.1-PBA.PBA.16,,
AHU-3,MSWB.1-PBA.PBA.17,,
F-2,MSWB.1-PBA.PBA.18,,
F-5,MSWB.1-PBA.PBA.19,,
F-4,MSWB.1-PBA.PBA.20,,
F-5,MSWB.1-PBA.PBA.21,,
F-4,MSWB.1-PBA.PBA.22,,
F-5,MSWB.1-PBA.PBA.23,,
F-4,MSWB.1-PBA.PBA.24,,
AHU-7,MSWB.1-PBA.PBA.25,,
AHU-7,MSWB.1-PBA.PBA.27,,
AHU-7,MSWB.1-PBA.PBA.29,,
ACCU-6,MSWB.4-M1.M1.1,,
ACCU-3,MSWB.4-M1.M1.2,,
ACCU-5,MSWB.4-M1.M1.3,,
ACCU-4,MSWB.4-M1.M1.5,,
Lights,MSWB.5-DHB.DHB.1-L42Csec1.L42Csec1.2,4040,
Lights,MSWB.5-DHB.DHB.1-L42Csec1.L42Csec1.3,4041,
Lights,MSWB.5-DHB.DHB.1-L42Csec1.L42Csec1.3,4042,
Lights,MSWB.5-DHB.DHB.1-L42Csec1.L42Csec1.3,4047,
Lights,MSWB.5-DHB.DHB.1-L42Csec1.L42Csec1.3,4048,
Lights,MSWB.5-DHB.DHB.1-L42Csec1.L42Csec1.3,4051,
Lights,MSWB.5-DHB.DHB.1-L42Csec1.L42Csec1.4,4043,
Lights,MSWB.5-DHB.DHB.1-L42Csec1.L42Csec1.5,4049,
Lights,MSWB.5-DHB.DHB.1-L42Csec1.L42Csec1.6,4050,
Lights,MSWB.5-DHB.DHB.1-L42Csec1.L42Csec1.7,4052,
