path,type,voltage,room,description,devices,,dhb.1.l42csec2.38,circuit,277/480,4054,L2C via T2C
MSWB,Panel,277/480,1069,Main Panel,Panel!#!#!1069,,,,,,
,,,,,,,,,,,
MSWB.2,Circuit,277/480,1069,Panelboard rm 1068,Panelboard!#!#!1068,,,,,,
MSWB.3,Circuit,277/480,1069,spare,spare,,,,,,
,,,,,,,,,,,
MSWB.1-PBA,Panel,277/480,1079,Rm 140 Mechanical Room ,Panel!#!#!1079,,,,,,
MSWB.1-PBA.1,Circuit,277/480,1079,AHU-1 | 10 HP |EXISTING KITCHEN |ZN7,AHU-1,,,,,,
MSWB.1-PBA.2,Circuit,277/480,1079,AHU-4 | 10 HP | ZN9,AHU-4,,,,,,
MSWB.1-PBA.3,Circuit,277/480,1079,AHU-1 | 10 HP |EXISTING KITCHEN |ZN7,AHU-1,,,,,,
MSWB.1-PBA.4,Circuit,277/480,1079,AHU-4 | 10 HP | ZN9,AHU-4,,,,,,
MSWB.1-PBA.5,Circuit,277/480,1079,AHU-1 | 10 HP | EXISTING KITCHEN |ZN7,AHU-1,,,,,,
MSWB.1-PBA.6,Circuit,277/480,1079,AHU-4 | 10 HP | ZN9,AHU-4,,,,,,
MSWB.1-PBA.7,Circuit,277/480,1079,F-1 | 3 HP  | AHU-3 | ZN10,F-1,,,,,,
MSWB.1-PBA.8,Circuit,277/480,1079,AHU-6 | 10 HP | ZN6 | F-4,AHU-6,,,,,,
MSWB.1-PBA.9,Circuit,277/480,1079,F-1 | 3 HP  | AHU-3 | ZN10,F-1,,,,,,
MSWB.1-PBA.10,Circuit,277/480,1079,AHU-6 | 10 HP | ZN6 | F-4,AHU-6,,,,,,
MSWB.1-PBA.11,Circuit,277/480,1079,F-1 | 3 HP  | AHU-3 | ZN10,F-1,,,,,,
MSWB.1-PBA.12,Circuit,277/480,1079,AHU-6 | 10 HP | ZN6 | F-4,AHU-6,,,,,,
MSWB.1-PBA.13,Circuit,277/480,1079,AHU-3 | 5 HP | Z10 |Fan - F1,AHU-3,,,,,,
MSWB.1-PBA.14,Circuit,277/480,1079,F-2 | 5 HP | AHU-4 | ZN9,F-2,,,,,,
MSWB.1-PBA.15,Circuit,277/480,1079,AHU-3 | 5 HP | Z10 |Fan - F1,AHU-3,,,,,,
MSWB.1-PBA.16,Circuit,277/480,1079,F-2 | 5 HP | AHU-4 | ZN9,F-2,,,,,,
MSWB.1-PBA.17,Circuit,277/480,1079,AHU-3 | 5 HP | Z10 |Fan - F1,AHU-3,,,,,,
MSWB.1-PBA.18,Circuit,277/480,1079,F-2 | 5 HP | AHU-4 | ZN9,F-2,,,,,,
MSWB.1-PBA.19,Circuit,277/480,1079,F-5 | 1.5 HP | AHU-7 | Art and Ceramic | ZN5,F-5,,,,,,
MSWB.1-PBA.20,Circuit,277/480,1079,F-4 | 5 HP | AHU-6 | CADD & GRAPHICS  | ZN6,F-4,,,,,,
MSWB.1-PBA.21,Circuit,277/480,1079,F-5 | 1.5 HP | AHU-7 | Art and Ceramic | ZN5,F-5,,,,,,
MSWB.1-PBA.22,Circuit,277/480,1079,F-4 | 5 HP | AHU-6 | CADD & GRAPHICS  | ZN6,F-4,,,,,,
MSWB.1-PBA.23,Circuit,277/480,1079,F-5 | 1.5 HP | AHU-7 | Art and Ceramic | ZN5,F-5,,,,,,
MSWB.1-PBA.24,Circuit,277/480,1079,F-4 | 5 HP | AHU-6 | CADD & GRAPHICS  | ZN6,F-4,,,,,,
MSWB.1-PBA.25,Circuit,277/480,1079,AHU-7 | 3HP | F-5 | Art and Ceramic | ZN5,AHU-7,,,,,,
MSWB.1-PBA.26,Circuit,277/480,1079,Spare | 3P -20A,Spare,,,,,,
MSWB.1-PBA.27,Circuit,277/480,1079,AHU-7 | 3HP | F-5 | Art and Ceramic | ZN5,AHU-7,,,,,,
MSWB.1-PBA.28,Circuit,277/480,1079,Spare | 3P -20A,Spare,,,,,,
MSWB.1-PBA.29,Circuit,277/480,1079,AHU-7 | 3HP | F-5 | Art and Ceramic | ZN5,AHU-7,,,,,,
MSWB.1-PBA.30,Circuit,277/480,1079,Spare | 3P -20A,Spare,,,,,,
MSWB.1-PBA.31,Circuit,277/480,1079,Spare | 3P -20A,Spare,,,,,,
MSWB.1-PBA.32,Circuit,277/480,1079,Spare | 3P -20A,Spare,,,,,,
